SRate,Temp,Sal,pH,DO,Nit,Amm
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
100,25,25,7,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
99,24,24,7.1,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
98,23,23,6.5,6.8,9,0.1
